Who?	¿Quién?
What kind of stone is this?	Cosa clase piedra esté?
What time do you go to bed?	Que hora tu ta durmí?
When will you go to school?	Cuando tu ay andá na escuela?
Where's the nearest church?	Donde el pinakacerca iglesia?
Who said I stole the money?	Quien ya hablá na ya robá yo cunel sen?
Why did you give Tom money?	Por que tu ya dale sen cun Tom?
You need to get a real job.	Necesita tu buscá trabajo verdadero.
Your necklace is beautiful.	Bunito de tuyo cadenita.
Are you sure he can do this?	Siguráo tu puedé le hacé conesté?
Barack Obama is a Christian.	Cristiano si Barack Obama.
Bring me that glass of milk.	Llevá cumigo ese vaso de leche.
Did Tom come here yesterday?	Ya vené ba aquí si Tom ayer?
Do you go to school on foot?	¿Usted ta andá na escuela de pie?
Do you go to school on foot?	¿Tú ta andá na escuela de pie?
Do you go to school on foot?	¿Vos ta andá na escuela de pie?
Do you go to school on foot?	¿Evos ta andá na escuela de pie?
Do you go to school on foot?	¿Ta andá usted escuela de pie?
Do you go to school on foot?	¿Ta andá tú escuela de pie?
Do you go to school on foot?	¿Ta andá vos escuela de pie?
Do you know where Tom lives?	Sabe tu donde ta quedá si Tom?
Do you know who has the key?	Sabe tu quien ta agarrá cunel llave?
Do you know who that guy is?	Sabe tu quien ese hombre?
Do you know who's in charge?	Sabe tu quien el encargao?
Do you know why I came here?	Sabe tu por qué yo ya vené aquí?
Don't fail to lock the door.	Numá olvidá trancá cunel puerta.
Few students can read Latin.	Poco lang estudiante ta puedé lé Latín.
Have you counted the towels?	Ya contá tu cunel maga toalla?
He asked for a lot of money.	Ya pidi le mucho sen.
He looked up at the ceiling.	Ya mirá le para na quísame.
He told me his life's story.	Ya hacé le cuento cumigo el historia de suyo vida.
He wet the towel with water.	Ya mojá le el toalla cun agua.
How many worms did you find?	Cuanto gusano tu ya encontrá?
How much does this hat cost?	¿Cuánto el precio de este sombrero?
I am looking for my brother.	Ta buscá yo de mio hermano.
I am very sensitive to heat.	Bien sensitivo yo na calor.
I can't make it without you.	Hindé yo puede asé cunese si nuáy tu.
I don't know where to begin.	Nusabe yo donde yo principiá.
I don't know where to begin.	Nusabe yo donde principiá.
I don't want to be involved.	No quiere yo quedá envuelto.
I don't want to get married.	No quiere yo casá.
I don't want to lie anymore.	No quiere más yo man-embusterías.
I had to go there yesterday.	Necesita yo andá allá ayer.
I have a thorn in my finger.	Tiene yo tunúk na de mío dedo.
I have difficulty breathing.	Difícil yo resollá.
I thought he was my brother.	Pensaba yo hermano le de mio.
I won't eat breakfast today.	Ay hindé yo almuersá este día.
I've seen this movie before.	Ya mirá ya yo cuneste salida antes.
Most people think I'm crazy.	Manada gente ta pensá que loco yo.
My grandfather raises ducks.	Ta cuidá maga pato de mío lolo.
Pay attention to what I say.	Poné atención na cosa yo ta hablá.
She has flowers in her hand.	Tiene le flores na de suyo mano.
Take any two cards you like.	Sacá tu masquín cosa dos baraja quiere tu.
Take off your socks, please.	Favor quitá tuyo calcetín.
That small one is also mine.	De mío tamén se diútay alí.
The bus went over the cliff.	Ya cái el bus na pampang.
There is a hole in his sock.	Tiene agujero el de suyo calcetín.
There was a moon that night.	Tiene luna aquel noche.
There's no one sitting here.	Nuáy quien ta sintá aquí.
They don't want you to know.	No quiere silá na sabé tu.
They went to Chicago by car.	De coche silá ya anda na Chicago.
Tom dialed the number again.	Yan dial si Tom cunel número otra vez.
Tom has solved that problem.	Ya resolvé si Tom cunaquel problema.
Tom is a pretty good driver.	Bien bueno manejá si Tom.
Tom was shivering with cold.	Ta temblá si Tom por causa del frialdad.
We all make mistakes, right?	Todo kita ta man camali, amo ba?
We all make mistakes, right?	Todo kita ta hace malí, así?
We have no idea where he is.	No hay kamé idea donde ya ele.
We live close to the school.	Ta quedá kamé cerca na escuela.
We've arrived a little late.	Ya llegá kamé un poco atrasáo.
We've brought you a present.	Tiene kamé regalo para cuntigo.
Why are you telling me this?	Por que tu ta ablá se cumigo?
Why did you buy the flowers?	Por que tu ya comprá cunel maga flores?
You can't come over tonight.	Hindé tu puede vené aqui luego de noche.
You can't come over tonight.	No puede tu vené aqui luego de noche.
All of my brothers have jobs.	Todo de mío maga hermano tiene trabajo.
At what time are you leaving?	Que ora tu ay salé?
Can you tell me what this is?	Puede tu hablá cumigo cosa esté?
Children like climbing trees.	Quiere quiere el maga batâ subí ponô.
Could you lend me some money?	Puede tu dale prestá cumigo sen?
Do you know how to cook fish?	Sabe tu cucí pescáo?
Do you know what causes that?	Sabe tu cosa ta causá cunese?
Do you know what he has done?	Sabe tu cosa le ya hacé?
Do you know what it's called?	Sabe tu cosa ta llamá cunese?
Don't worry about me so much.	Numá gayót man lingasa cumigo.
Fortunately, no one was hurt.	Suerte, nuay quien ya sintí duele.
He came back at nine o'clock.	Ya virá le aquí a las nueve.
He does not have any friends.	Nuáy le ni un amigo.
He is from the United States.	De Estados Unidos ele.
Helena is a secretary, right?	Secretaria si Helena, no?
How much is a kilo of grapes?	Cuanto el un kilo de uvas?
I can't forgive what you did.	No puede yo perdoná el cosa tu ya hacé.
I don't want to die tomorrow.	No quiere yo murí mañana.
I don't want to eat anything.	No quiere yo comé masquín cosa.
I don't want to go to Boston.	No quiere yo andá na Boston.
I don't want to study German.	No quiere yo estudiá Alemán.
I don't want to talk anymore.	No quiere más yo man cuento.
I gave the book to my friend.	Ya dale yo el libro na de mío amigo.
I have a magazine in my room.	Tiene yo magazine na de mio cuarto.
I have no money in my pocket.	No hay yo sen na mio bolsa.
I learned a lot this weekend.	Manada yo cosa ya aprendé este fin de semana.
I never get tired of talking.	Nunca yo ta cansá man cuento.
I put my shoes under the bed.	Ya poné yo de mio sapatos abajo del cama.
I saw Tom jump into the pool.	Ya mirá yo cun Tom saltá na swimming pool.
I'm not your teacher anymore.	Hindé ya yo de tuyo maestro.
I've already cleaned my room.	Ya limpiá ya yo de mio cuarto.
It was a full moon yesterday.	Full moon ayer.
My grandfather gets up early.	Temprano ta levantá de mío abuelo.
My office door's always open.	PIrmi abierto el puerta de mío oficina.
No one said it was a diamond.	Nuáy quien ya ablá na diamante aquel.
She has a book under her arm.	Tiene libro ipit na de suyo subaco.
That's none of your business.	Nuay tu quever.
That's the reason she's late.	Ese el rasón por que ele atrasáo.
The moon is shining brightly.	Ta brillá gayot el luna.
The towel is in the bathroom.	Tallá na baño el toalla.
There is no one in the house.	Nuáy gente na casa.
They did what they were told.	Ellos ya hace el cósa kanila ya habla.
They did what they were told.	Ya hace sila el cósa kanila ya habla.
They did what they were told.	Sila ya hace el cósa kanila ya habla.
Tom is Mary's brother-in-law.	Cuñáo si Tom de Mary.
Tom put the baby in his crib.	Ya poné si Tom cunel batâ na cuna.
Tom showed Mary his calendar.	Ya dale si Tom mirá cun María de suyo calendario.
Tom wrung the chicken's neck.	Ya hacé palípit si Tom cunel pescuezo del gallina.
Tom's birthday was yesterday.	Ayer el cumpleaño de Tom.
We arrived there before noon.	Nuay pa mediodía kamé ya llegá allá.
We have a party this evening.	Tiene kamé party luego de noche.
What sort of a person is Tom?	Cosa clase de gente si Tom?
What would you do without me?	Cosa tu hacé si nuay yo?
When I'm with you, I'm happy.	Alegre yo si junto yo cuntigo.
Why didn't somebody help Tom?	Por que nuáy quien ya ayudá cun Tom?
Why do people dye their hair?	Por que ta mandá tiñí el maga gente cunel pelo?
Will you lend me your pencil?	Dale tu prestá cumigo de tuyo lápiz?
You can't live without water.	No puede tu viví si nuáy agua.
You didn't tell him anything?	Nuáy tu ablá cunele nada?
Your daughter is very pretty.	Bien bonita de tuyo hija.
A fly can walk on the ceiling.	Ta puedé caminá el mosca na quísame.
All that glitters is not gold.	Hindé todo ta brillá, oro.
Are you interested in the job?	Interesáo ba tu na trabajo?
Bring me another fork, please.	Favor, llevá cumigo otro tenedor.
Did you clean your room today?	Ya limpiá tu de tuyo cuarto este día?
Did you leave the window open?	Ya dejá tu cunel ventana abierto?
Didn't you write him a letter?	Nuay tu escribí cunele carta?
Do you hear the birds singing?	Ta oí tu ta cantá el magá pajaro?
Do you know what Tom is doing?	Sabe tu cosa ta hacé si Tom?
Do you know what happens next?	Sabe tu cosa pasá después?
Do you know when he will come?	Sabe tu cuando le ay vené?
Do you know where Tom is from?	Sabe tu de donde si Tom?
Do you know where my watch is?	Sabe tu donde ya de mío reloj?
Don't you have anything to do?	No hay ba tu cosa hacé?
He admitted that he was wrong.	Ya admití le na malí le.
He doesn't talk to me anymore.	Hindé ya le tan cuento cumigo.
He likes coffee without sugar.	Quiere le cafe no hay asúcar.
He started talking to the dog.	Ya principiá le conversá cunel perro.
I got a lot of mosquito bites.	Bien manada yo mordedura de lamuk.
I have been to the U.S. twice.	Dos veces yo ya andá na América.
I helped Mommy in the kitchen.	Ya ayudá yo cun Mamang na cucina.
I left my umbrella in the cab.	Ya dejá yo de mío páyung na taxi.
I wonder who brought the cake.	Quien gahâ ya llevá cunel cake?
I'm going to miss you so much.	Man miss gayót yo cuntigo.
Mary is carrying a watermelon.	Ta cargá si María un pakwán.
My friend lives in this house.	Aquí na este casa ta quedá de mío amigo.
My parents know my girlfriend.	Conoce de mío tata'y nana cunel de mío novia.
Our school is fifty years old.	Tiene ya cincuenta años diaton escuela.
She is giving the baby a bath.	Ta dale le bañá cunel baby.
She is giving the baby a bath.	Ta dale le bañá cunel batâ.
Tell me what you have in mind.	Hablá cumigo cosa tu ta pensá allí na tuyo cabeza.
That's my umbrella, not Tom's.	De mio se páyung, hindé se de Tom.
The candle went out by itself.	Ya apagá solo solo el candela.
The moon is lighting the room.	Ta alumbrá el luna cunel cuarto.
This room is too small for us.	Bien diútay gayót este cuarto para kanamon.
Tom has a lot of French books.	Manada si Tom libro acerca del lenguaje francés.
Tom has something to ask Mary.	Tiene si Tom cosa preguntá cun María.
Tom has something to ask Mary.	Tiene si Tom cosa quiere preguntá cun María.
Tom is looking at the ceiling.	Ta mirá si Tom na quísame.
Tom likes to go fishing alone.	Quiere quiere si Tom andá pescá solo.
Tom wants to go, but he can't.	Quiere si Tom andá, pero no puede le andá.
Two passenger ships were sunk.	Dos barco de pasajero ya sumí.
We didn't stay home yesterday.	Nuáy kamé quedá na casa ayer.
We play soccer every Saturday.	Todo'l Sábado ta jugá kamé soccer.
We thought he was an American.	Pensaba kamé Americano ele.
What kind of wine do you have?	Cosa clase de vino tu tiene?
Where should I put my baggage?	Donde yo poné de mio mga bagaje?
Why are you giving this to me?	Por que tu ta dale esté cumigo?
Why do I have to go to school?	Por que necesita yo andá na escuela?
Will you go on foot or by bus?	¿Hay andá usted de pie o de bús?
Will you go on foot or by bus?	¿Hay andá tú de pie o de bús?
Will you go on foot or by bus?	¿Hay andá vos de pie o de bús?
Will you go on foot or by bus?	¿Evos hay andá de pie o de bús?
Will you go on foot or by bus?	¿Usted hay andá de pie o de bús?
Will you go on foot or by bus?	¿Tú hay andá de pie o de bús?
You are a beautiful butterfly.	Usted es un bonita mariposa.
You are a beautiful butterfly.	Usted un bonita mariposa.
You are a beautiful butterfly.	Tú es un bonita mariposa.
You are a beautiful butterfly.	Tú un bonita mariposa.
You are a beautiful butterfly.	Vos un bonita mariposa.
You are a beautiful butterfly.	Evos un bonita mariposa.
Are you a teacher or a student?	Maestro ba tu o estudiante?
Come inside. It's cold outside.	Vené aquí adentro. Frío allí afuera.
Did I tell you I got a new job?	Ya hablá ba yo cuntigo na tiene yo nuevo trabajo?
Do you know what else is wrong?	Sabe tu cosa pa el malî?
Do you know what you're asking?	Sabe tu cosa tu ta pidí?
Do you know when she will come?	Sabe tu cuando le ay vené?
Do you know where she was born?	Sabe tu donde le ya nacé?
Do you know who that person is?	Sabe tu quien ese gente?
Do you know why she's so angry?	Sabe tu por qué le bien rabiao?
He always leaves home at seven.	A las siete le pirmi ta salé na casa.
How many more forks do we need?	Cuanto tenedor pa kitá necesita?
I bought a dozen pencils today.	Este día ya comprá yo un docena de lápiz.
I can't make out what he wants.	Hindé yo ta entendé cosa le quiere.
I didn't know Tom was a doctor.	Nuay yo sabé que doctor galê si Tom.
I didn't know you played chess.	Nusabe yo na ta jugá galê tu chess.
I didn't know you played chess.	Nusabe yo que ta jugá galê tu chess.
I don't remember what happened.	Hindé yo ta acordá cosa ya pasá.
I don't want to go to the bank.	No quiere yo andá na banco.
I don't want to read this book.	No quiere yo lé cuneste libro.
I left the keys with my wallet.	Ya dejá yo el mana llaves con mi porta moneda.
I left the keys with my wallet.	Ya dejá yo el maga llaves con mi porta moneda.
I left the keys with my wallet.	Ya dejá yo el mana llaves con mi pitaca.
I left the keys with my wallet.	Ya dejá yo el maga llaves con mi pitaca.
I poured water into the bucket.	Ya vacia yo agua na balde.
I would like to visit New York.	Quiere yo visitá na New York.
I'm going to go feed the ducks.	Andá yo dale comé cunel maga pato.
I'm not ashamed that I am poor.	Hindé yo ta tené huyá na pobre lang yo.
I'm sure that he went to Tokyo.	Siguráo yo na Tokyo le ya andá.
Parents need a lot of patience.	Necesita largo el paciencia del maga tata'y nana.
She climbed down from the roof.	Ya abajá le del techo.
She listens to religious music.	Ta oí le mga canción religioso.
The baby is sucking his finger.	Ta chupá el batâ diútay de suyo dedo.
The bird was looking for worms.	Ta buscá maga gusano el pajaro.
The chair is close to the door.	Cerca del puerta el silla.
The garden is behind the house.	Na detrás del casa el jardín.
The ice watered down the juice.	Ya hacé aguáo el hielo cunel juice.
The tines of the fork are bent.	Tikû el maga punta del tenedor.
The train stopped in Baltimore.	Ya pará el tren na Baltimore.
There are lots of things to do.	Bien manada cosa para hacé.
There is no smoke without fire.	Nuáy umu si nuáy fuego.
They eat with a knife and fork.	Ta comé silá de cuchillo patí tenedor.
They eat with a knife and fork.	Ta usá silá cuchillo y tenedor si ta comé.
They started picking up stones.	Ya principiá silá pipiná maga piedra.
This building is made of stone.	De piedra esté edificio.
Today's my grandson's birthday.	Este día el cumpleaño de mío apú hombre.
Tom can't answer your question.	Nupuede si Tom man-answer de tuyo pregunta.
Tom is playing cards with Mary.	Ta jugá si Tom baraja junto cun Mary.
Tom is watching TV in his room.	Ta mirá si Tom TV na suyo cuarto.
Tom understands what you don't.	Ta entendé si Tom el cosa tu hindé ta entendé.
Why don't you take a seat here?	Por que man tu hindé sintá aqui?
Will you look after my baggage?	Puede tu viciá de mío maga bagaje?
You can't eat soup with a fork.	No puede tu comé un sopa cun un tenedor.
You can't eat soup with a fork.	No puede tu comé un sopa usando un tenedor.
You don't have to work so hard.	Hindé tu necesita trabajá gayót.
You have to speak English here.	Necesita tu man cuento inglés aquí.
You shouldn't drink this water.	No tú debe tomá este agua.
You shouldn't drink this water.	No usted debe tomá este agua.
An old woman was burnt to death.	Ya quemá el un vieja hasta ya murí.
Are Tom and Mary really married?	De veras casáo ya kanda Tom patí Mary?
Are Tom and Mary really married?	De veras casáo ya kanda Tom y Mary?
Didn't you learn that in school?	Nuáy tu se aprendé na escuela?
Do you eat rice in your country?	Ta comé ustedes canon alí na de ustedes país?
Do you have a bigger frying pan?	Tiene tu más grande carajay?
Do you know how his father died?	Sabe tu pakimodo ya murí de su tata?
Do you know what Tom looks like?	Sabe tu cosa el hechura de Tom?
Do you know what the problem is?	Sabe tu cosa el problema?
Do you know what they're called?	Sabe tu cosa ta llamá cunesos?
Do you know what time they came?	Sabe tu que hora silá ya vené?
Do you know who sings that song?	Sabe tu quien ta cantá cunese canción?
Do you know who this belongs to?	Sabe tu de quien esté?
Do you know who wrote this book?	Sabe tu quien ya escribí cuneste libro?
Do you know why the sky is blue?	Sabe tu por qué azul el cielo?
Have you finished breakfast yet?	Ya acabá ya tu almorzá?
He asked me whether I like math.	Ya priguntá le cumigo si quiere yo cunel Math.
He doesn't want to go to school.	No quiere le andá na escuela.
I caught him stealing the money.	Ya cogí yo cunele ta robá cunel sen.
I don't like spiders and snakes.	Hindé yo ta gustá mga gagamba patí mga culebra.
I don't understand the question.	Hindé yo ta entendé cunel pregunta.
I have already finished the job.	Ya acabá ya yo el trabajo.
I left my gloves in the library.	Ya dejá yo de mío maga guantes na library.
I left my guitar in your office.	Ya dejá yo de mío guitarra na de tuyo oficina.
I saw my mother hiding the cake.	Ya mirá yo de mío nana ta escondé cunel cake.
I was caught with my pants down.	Ya cují cumigo abajáo el pantalón.
I will bring back a lot of food.	Llevá yo volvé manada comida.
I will complete what he started.	Hacé yo acabá cosa le ya principiá.
I won't let him come here again.	Hindé yo cunele mandá vené aquí olét.
I'd like to know if that's true.	Quiere yo sabé si verdad ese.
I'm not telling you to go alone.	Hindé yo ta ablá que andá tu solo solo.
It isn't easy to memorize dates.	Hindé fácil memorizá cunel mga fecha.
May I see your passport, please?	Puede yo mirá de tuyo pasaporte?
May I see your passport, please?	Puede yo mirá de tuyo passport?
She gave the dog to her friends.	Ya dale le el perro na de suyo maga amigo.
She is afraid of her own shadow.	Medutin ele.
She is afraid of her own shadow.	Tiene le miedo de suyo propio sombra.
She was very happy with my gift.	Bien alegre gayot le na de mío regalo.
The baby cannot use a spoon yet.	Nusabe pa usá cuchara el batâ diútay.
There is a church near my house.	Tiene iglesia cerca na de mío casa.
There is always something to do.	Tiene pirmi cosa para hacé.
There's a reason for everything.	Todo tiene razón.
They wash their hands with soap.	Ta lavá silá diila mano cun jabón.
Tom already knows what happened.	Sabe ya si Tom el cosa ya pasa.
What did you do with the camera?	Cosa tu ya hacé cunel cámera?
What is the price of this watch?	Cosa el precio desté reloj?
Where were you when it happened?	Donde tu cuando ya ocurí ese?
You didn't need to tell me that.	Hindé tu necesita ablá aquel cumigo.
You know that I don't like eggs.	Sabe tu no quiere yo huevos.
You may make use of his library.	Puede ustedes usá suyo library.
"May I go with you?" "Of course."	"Puede yo siguí cuntigo?" "Siempre!"
A drunk man fell down the stairs.	Un hombre borracho ya cae na escalera.
Can you see the nest in the tree?	Ta puede tu mirá cunel pugarán na pónô?
Close your eyes and count to ten.	Cerrá de tuyo ojos y contá hasta diez.
Comb your hair before you go out.	Peiná de tuyo pelo antes tu salé.
Did Tom teach you how to do that?	Ya ensiñá contigo si Tom pakichura hacé ese?
Did you see what Tom did to Mary?	Ya puedé tu mirá cosa ya hacé si Tom cun Mary?
Didn't you hear your name called?	Nuay tu oí ya llamá de tuyo nombre?
Do not talk with your mouth full.	Numá man cuento si lleno el boca.
Do you know what Tom was wearing?	Sabe tu cosa camisa si Tom ta usá?
Do you know what color she likes?	Sabe tu cosa color le quiere?
Do you know where Tom was hiding?	Sabe tu donde ta escondé si Tom?
Do you know where the girl lives?	Sabe tu donde ta quedá el batâ mujer?
Do you know who those people are?	Sabe tu quien esos maga gente?
Do you know why Tom was arrested?	Sabe tu por qué silá ya arrestá cun Tom?
Do you want me to comb your hair?	Quiere tu peiná yo de tuyo pelo?
Don't forget to brush your teeth.	Numá olvidá cepillá tuyo diente.
He is not a doctor but a teacher.	Hindé le doctor, sino maestro.
He ran away as soon as he saw me.	Ya corré le apenas ya mirá cumigo.
He wants to get a new dictionary.	Quiere le comprá nuevo diccionario.
I don't want to embarrass myself.	No quiere yo man huyá.
I got home and took my shoes off.	Ya llegá yo na casa y ya quitá yo mio sapatos.
I pricked my thumb with a needle.	Yan túhug aguja na de mío dedo grande.
I remember the first time we met.	Ta acordá yo el primer vez na yan mirahan kitá.
I want to buy a cheap dictionary.	Quiere yo comprá dictionary barato.
I'm sorry, I don't speak English.	Dispensá cumigo, nusabe yo man cuento inglés.
She picked flowers in the garden.	Ya sacá ele flores na jardin.
She still hasn't heard this news.	No hay pa le oí cuneste notícia.
The little girl just kept crying.	Ya llorá que llorá el batita.
The teacher collected the papers.	Ya colectá el maestra cunel maga papel.
There's a big fly on the ceiling.	Tiene un mosca grande na quísame.
There's a dictionary on the desk.	Tiene un diccionario na escritorio.
There's a dictionary on the desk.	Tiene un diccionario na recepción.
There's a dictionary on the desk.	Tiene un diccionario na mesa de trabajo.
Tom didn't have to come so early.	Hindé si Tom necesita vené aqui bien temprano.
Tom didn't know what to do first.	Nusabe si Tom cosa una hacé.
Tom doesn't think it's his fault.	Hindé ta cré si Tom que de suyo se culpa.
Uncle Tom is my mother's brother.	Hermano de mío nana si Tío Tom.
Wait until your father gets home.	Espera tu hasta llega de tuyu tata.
What are you going to do tonight?	Cosa tu hacé luego de noche?
When will this be returned to me?	Cuando tu devolvé esté cumigo?
Where in Austria did you grow up?	¿Dónde na Austria que tú ya engrandá?
Where in Austria did you grow up?	¿Dónde na Austria que usted ya engrandá?
Where in Austria did you grow up?	¿Dónde na Austria que vos ya engrandá?
Where in Austria did you grow up?	¿Dónde na Austria que evos ya engrandá?
Where shall I hang this calendar?	Donde yo hacé bítay cuneste calendario?
Who else knows about your secret?	Quien otro sabe de tuyo sicreto?
Why doesn't Tom like to eat fish?	Por que no quiere si Tom comé pescáo?
Would you please open the window?	Puede tu abrí cunel ventana, favor?
You're lucky you didn't get shot.	Suerte tu na nuáy cuntigo tupá bala.
At first, they didn't believe him.	Una una, hindé silá ta cré cunele.
Do you know when Tom will be back?	Sabe tu cuando ay virá si Tom?
Do you know when they will arrive?	Sabe tu cuando silá ay llegá?
Do you know who broke this window?	Sabe tu quien ya hacé quebrá cuneste ventana?
Do you know why Tom was in prison?	Sabe tu por qué tallá na preso si Tom?
Do you know why she couldn't come?	Sabe tu por qué le nuay puedé vené?
He doesn't know that I have a cat.	Nusabe le kay tiene yo un gato.
He is unsatisfied with the result.	Hindé le satisfechao cunel resulta.
Hurry up or you'll miss the train.	Apurá si no hindê tu puedé montá tren.
I cleared the table of the dishes.	Ya acabá yo quitá cunel maga plato na mesa.
I have two daughters and two sons.	Tiene yo dos hijo y dos hija.
I have two daughters and two sons.	Tiene yo dos anák mujer y dos anák hombre.
I intend to stay there for a week.	Ta planeá yo quedá allá por un semana.
I should wait until Tom gets here.	Necesita yo esperá hasta llegá aquí si Tom.
I still have some pain in my knee.	Ta duelé pa de mío rodilla un poco.
I want to learn Chinese next year.	Quiere yo aprendé el lenguaje chino na venedero año.
I'm sorry that I can't come today.	Paciencia, pero no puede yo andá este dia.
My wife and children depend on me.	Ta dependé cumigo el mío esposa patí magá anák.
She hung the calendar on the wall.	Ya hacé le bítay cunel calendario na pader.
She hung the calendar on the wall.	Ya hacé le bítay cunel calendario na dindín.
She sews with a needle and thread.	Ta cusí le cun hilo patí aguja.
She studied Japanese after dinner.	Ya estudiá le japonés después el cena.
The mountain is covered with snow.	Tapao de nieve el monte.
The mountain is covered with snow.	Tapao de snow el monte.
There are five apples in this box.	Tiene cinco mansanas adentro de este cajón.
They don't know that I'm Japanese.	Nusabe silá que Japón yo.
Tom asked Mary why she was crying.	Ya preguntá si Tom cun Mary por que ele ta llorá.
Tom is going to Boston next month.	Ay andá si Tom na Boston el venedero mes.
Tom knew who Mary's boyfriend was.	Sabe si Tom quien el novio de Mary.
Tom poured hot water into the cup.	Ya vaciá si Tom agua caliente na tasa.
Tom told me he likes Chinese food.	Ya habla si Tom comigo na quiere quiere le comida chino.
Tom was a witness to the accident.	Testigo si Tom del accidente.
You are too young to travel alone.	Bien joven pa tu para man viaje solo solo.
You can't always do what you want.	Hindé tu pirmi puede asé cosa tu quiere.
You forgot to comb your hair, Tom.	Tom, ya olvidá tu peiná de tuyo pelo.
You forgot to comb your hair, Tom.	Tom, ya olvidá ka peiná dikaw pelo.
You have no obligation to help us.	Nuay tu obligación ayudá kanamon.
You know Tom is telling the truth.	Sabe tu que verdad el cosa ta hablá si Tom.
You may not smoke in the elevator.	No puede tu fumá adentro del elevator.
You're the only one who bought it.	Tu lang el quien ya comprá ansina.
Do you know if he has a girlfriend?	Sabe tu si tiene ele novia?
Do you know what Tom did yesterday?	Sabe tu cosa ya hacé si Tom ayer?
Do you know what the difference is?	Sabe tu cosa el diferencia?
Do you know when Tom's birthday is?	Sabe tu cuando el cumpleaños de Tom?
Do you know when they will be back?	Sabe tu cuando silá ay virá?
Do you know where your father went?	Sabe tu donde ya andá de tuyo tata?
Do you know who Tom is hiding from?	Sabe tu cun quien si Tom ta escondé?
Do you know who stole Tom's laptop?	Sabe tu quien ya robá cunel laptop de Tom?
Do you know why Tom went to Boston?	Sabe tu por qué si Tom ya andá na Boston?
He is sometimes absent from school.	Tiene vez absent le na escuela.
He made up his mind to be a doctor.	Ya decidí ele quedá un doctor.
He took a photograph of the family.	Ya retratá le cunel familia.
I am married and have two children.	Casáo ya yo y tiene yo dos anák.
I am not rich, nor do I wish to be.	Hindé yo rico, hindé también yo quiere quedá.
I brought some of my books to read.	Ya llevá yo algunos libros de mío para lé.
I don't feed my dog in the morning.	Hindé yo ta dale comé de mio perro si ága.
I don't know who wrote this letter.	Nusabe yo quien ya escribí cuneste carta.
I need some sugar. Do you have any?	Necesita yo un poco de asucar. Tiene tu?
I thanked him for the nice present.	Ya rindí yo gracias cunele por el bunito regalo.
I've finished watering the flowers.	Ya acabá ya yo regá cunel mga flores.
If he doesn't come, what'll you do?	Si hinde ele llega, cosa tu ay hace?
It is difficult to give up smoking.	Difícil pará de fumá.
It is going to rain this afternoon.	Ay cae ulán ahora tarde.
It is going to rain this afternoon.	Ay cae ulán este tarde.
Let's wait here till he comes back.	Esperá kitá aquí hasta volvé le.
Many people were killed in the war.	Mucho gente ya murí na guerra.
My grandfather never dyed his hair.	Nunca ya tiñí pelo el mio abuelo.
My grandmother can't see very well.	No puede mirá enbuenamente de mío abuela.
My mother gave me a pearl necklace.	Ya dale cumigo un cadenita de perlas de mío nana.
Russian is very difficult to learn.	Bien difícil aprendé Russian.
She accused me of making a mistake.	Ya acusá le cumigo na yan kamalí dao yo.
The Queen's crown was made of gold.	De oro el corona del reina.
The mountain has a beautiful shape.	Bonito el forma del monte.
The policeman drove the crowd away.	Ya acabá mandá salé el pulís cunel maga mirón.
We'll start whenever you are ready.	Comenzá kitá si preparáo ya tu.
We'll start whenever you are ready.	Principiá kitá si preparáo ya tu.
When I got home, I was very hungry.	Bien con hambre yo cuando ya llegá yo na casa.
When did you begin studying French?	De cuando tu ya principiá aprendé francés?
When he saw me, he started running.	Cuando ya mirá le cumigo, ya principiá le corré.
When he saw me, he started running.	Cuando ya mirá le cumigo, ya pegá le el corrida.
You know you don't have to do this.	Sabe tu na hindé tu necesita hacé cunesté.
Your parents didn't come, did they?	Nuay llegá de tuyo tata y nana, no?
Do you know who lives in that house?	Sabe tu quien ta viví na ese casa?
Do you know who this car belongs to?	Sabe tu de quien esté coche?
Does your brother know how to drive?	Sabe manejá de tuyo hermano?
Few students use pencils these days.	Este maga tiempo poco estudiante ya lang ta usá lápiz.
He put the key on the desk as usual.	Como de antes, ya dejá le cunel llave na mesa.
I can feel pain in both of my knees.	Ta puede yo sintí dolor na ambos rodillas.
I don't want to talk about my child.	No quiere yo man cuento sobre de mio hijo.
I won't be going with you to Boston.	Ay hindé yo siguí cuntigo para na Boston.
I would rather have tea than coffee.	Chá ya lang yo tomá contra café.
I'm sorry I can't go with you today.	Pasensya ya no puedo yo siguí cuntigo este día.
Is this the key you are looking for?	Este el llave que ta buscá tu?
Many cities were destroyed by bombs.	Manada ciudad ya quedá destrosáo por causa del magá bomba.
There is a dragonfly on the ceiling.	Tiene un apán na quísame.
Tom doesn't know what's in this box.	Nusabe si Tom cosa taquí adentro del cajón.
Tom doesn't need to go to the store.	Hindé necesita andá na tienda si Tom.
Tom showed me how to make spaghetti.	Ya enseñá cumigo si Tom pakimodo cucí spaghetti.
We talked to each other for a while.	Yan cuento kamé un rato.
We want to learn some Spanish songs.	Quiere kamé aprendé cuantos maga canción español.
What time do you usually leave home?	¿Cósa hora usted usualmente ta salé na casa?
What time do you usually leave home?	¿Qué hora usted usualmente ta salé na casa?
What time do you usually leave home?	¿Qué hora tú usualmente ta salé na casa?
What time do you usually leave home?	¿Qué hora vos usualmente ta salé na casa?
What time do you usually leave home?	¿Cósa hora tú usualmente ta salé na casa?
