Hello!	哈佬。
This building is near completion.	呢座建築物就起完㗎喇。
This is a difficult math problem.	呢條係一條好深嘅數學題。
This is the house he was born in.	佢就係喺呢間屋度出世㗎喇。
We came back by way of Hong Kong.	我哋經香港番嚟。
We don't know what causes cancer.	我哋唔知道癌症嘅成因係咩。
What do you eat on Christmas Day?	你聖誕節會食啲咩㗎？
What do you say to taking a rest?	不如唞吓先啦？
What was his motive for doing it?	佢噉樣做嘅動機係咩呢？
What's the length of this bridge?	呢條橋有幾長？
When did you get up this morning?	你今朝幾點起身呀？
Why are you so sure Tom is wrong?	點解你咁肯定Tom唔啱呢？
Why do you want to buy this book?	你點解想買呢本書呀？
Will you show me what you bought?	你可唔可以俾我睇吓你買咗啲咩呀？
Will you sing me a Beatles' song?	可唔可以唱首披頭四嘅歌俾我聽呀？
You don't have to answer quickly.	你唔使趕住答。
You don't need to worry about it.	你唔使擔心。
You may always use my dictionary.	你可以隨時攞我本字典去用。
You might at least say thank you.	你至少都講返句多謝吖。
"Are you students?" "Yes, we are."	「你哋係唔係學生嚟㗎？」「係呀。」
A fallen tree obstructed the road.	有棵樹冧咗落嚟，塞住咗條路。
A few were drunk most of the time.	有幾個通常都係醉嘅。
Are they able to read these words?	佢哋識唔識讀呢幾隻字呀？
Bring me a sheet of paper, please.	可唔可以幫我攞張紙嚟呀？
Could I get one more beer, please?	可唔可以俾多支啤酒我呀？
Could I have a pillow and blanket?	我可唔可以要個枕頭同張毯？
Do you have any further questions?	你仲有冇嘢問呀？
Do you understand what I'm saying?	你知唔知我講緊咩呀？
Does she still have a temperature?	佢係咪仲發緊燒呀？
Don't be afraid to make a mistake.	唔好驚錯。
Everybody wants to sit beside her.	大家都想坐喺佢隔籬。
He is rich enough to buy that car.	佢買得起嗰架車。
He is too young to go there alone.	佢仲細，唔應該自己一個人去。
He pretended not to hear his boss.	佢扮聽唔到老細同佢講嘢。
He talks as if he knew the secret.	佢講到好似佢知道咗個秘密噉。
He was scared you would shoot him.	佢好驚你會開槍射佢。
His brother goes to school by bus.	佢阿哥坐巴士返學。
I broke his heart, but I love him.	我傷咗佢嘅心，但係我愛佢。
I didn't need to pay for the food.	啲嘢食唔使我俾錢。
I had a horrible dream last night.	我尋晚發咗個惡夢。
I had my hair cut at the barber's.	我去咗髮型屋剪頭髮。
I had my wallet stolen on the bus.	我喺架巴士度俾人偷咗銀包。
I have complete confidence in Tom.	我對Tom有百分百嘅信心。
I sharpened a pencil with a knife.	我攞把刀嚟刨尖咗支鉛筆。
I spilled my coffee on the carpet.	我倒瀉咗啲咖啡落張地毯度。
I usually get up at eight o'clock.	我通常八點起身。
I'll have a cup of coffee, please.	一杯咖啡吖唔該。
I'll tell you all I know about it.	等我將我知嘅嘢話晒比你聽啦。
I'm sorry, but where are the eggs?	唔好意思呀，我想問吓啲雞蛋喺邊度呀？
It's eight o'clock in the morning.	而家係朝頭早八點。
John is two years older than I am.	阿John大我兩歲。
Keep your hands off my typewriter.	唔好掂我部打字機呀。
Let me get you something to drink.	我買啲嘢俾你飲吖。
Let's leave that matter for later.	呢樣嘢遲啲先搞。
Let's leave that matter for later.	呢樣等遲啲先。
Mary is too stubborn to apologize.	阿Mary咁硬頸，唔會識道歉架嘞。
My father plays golf every Sunday.	我阿爸逢親禮拜日都會去打哥爾夫球。
She asked him to not quit his job.	佢叫佢唔好辭咗份工佢。
She didn't appear to recognize me.	佢好似唔認得我。
She didn't appear to recognize me.	佢望落唔似認得我。
She is a native speaker of French.	佢嘅母語係法文。
She may be a nurse. I am not sure.	佢可能係個護士，我唔係咁肯定。
She taught music for thirty years.	佢教咗三十年音樂。
Thank you for lending us the book.	多謝你借本書俾我哋喎。
That bus will take you to the zoo.	搭嗰架巴士就可以去到動物園喇。
The plane arrived exactly at nine.	架飛機啱啱好九點鐘到。
There was a lot of snow last year.	舊年落咗好多雪。
There was an earthquake yesterday.	尋日發生咗一場地震。
Twelve years old is old for a dog.	十二歲對一隻狗嚟講算係好老㗎喇。
We still have plenty of time left.	我哋仲有大把時間剩。
We won't have a chance to do that.	我哋唔會有機會咁做。
We're not all as tired as you are.	我哋唔係個個都好似你咁攰。
We're still the best in the world.	我哋仍然係世界第一。
What color do you think she likes?	你話佢鍾意啲咩顏色吖嗱？
What time is it now by your watch?	你隻錶而家幾點呀？
What will you do after graduation?	你畢咗業之後諗住做啲咩呀？
What will you do on Christmas Day?	你聖誕節諗住做啲咩呀？
When did you get back from London?	你幾時喺倫敦返返嚟㗎？
Where did you spend your holidays?	你去咗邊度渡假呀？
Which is larger, Japan or England?	日本大啲定英國大啲？
Who is the man playing the violin?	拉緊小提琴嗰個人係邊個嚟㗎？
Will you drive me to the hospital?	你可唔可以車我去醫院呀？
Will you tell me where I am wrong?	你可唔可以話我知我錯喺邊呀？
You may choose whichever you like.	任你揀。
You're the smartest person I know.	你係我識嘅人入面最醒目嗰個。
A young man barged in unexpectedly.	有個後生仔突然間衝咗入嚟。
All the girls in my class are kind.	我嗰班嗰啲女仔全部都好好人。
Can you read that sign ahead of us?	你見唔見到前面嗰個標誌寫住啲咩呀？
Close the door before going to bed.	上床之前閂門。
Could you call again later, please?	你可唔可以晏啲再打電話嚟呀？
Did anyone call me while I was out?	我出咗去嗰陣有冇人打電話嚟搵我呀？
Do you know how to use this camera?	你識唔識用呢部相機呀？
Do you think I'm too materialistic?	你會唔會覺得我份人太過物質呀？
Don't call me up after ten o'clock.	十點之後唔好打電話俾我。
Einstein was a mathematical genius.	愛因斯坦係一個數學天才。
Frankly speaking, I don't like him.	老實講，我其實真係唔係好鍾意佢。
Have you arrived at a decision yet?	你決定好未呀？
He has made the same mistake twice.	他犯咗兩次相同嘅錯誤。
He has more books than he can read.	佢啲書多到睇唔晒。
He has no sense of right and wrong.	佢唔識分啱同錯。
He is worried about losing his job.	佢好驚會冇咗份工。
He made up his mind to be a doctor.	佢決定咗要做醫生。
His breath smells like goat cheese.	佢啲口氣聞落好似山羊芝士咁。
His parents expect too much of him.	佢阿爸阿媽對佢期望過高。
How dare you speak to me like that!	你竟然夠膽咁樣同我講嘢！
How did you come by all this money?	你喺邊度搵到咁多錢返嚟㗎？
How many magazines are on the desk?	張枱上面有幾多本雜誌呀？
How much did you pay for the dress?	條裙你買咗幾多錢呀？
I am afraid that you will get lost.	我驚你會蕩失路。
I am not always at home on Sundays.	我唔係個個星期日都喺屋企。
I burned myself with boiling water.	我俾滾水淥親。
I can't think of his name just now.	我頭先醒唔起佢個名。
I do not want to clean up dog poop.	我唔想清理狗屎。
I don't have time to eat right now.	我依家冇時間食嘢。
I don't want to get my hands dirty.	我唔想整污糟我隻手。
I get dizzy spells when I stand up.	我一企起身就會頭暈。
I have lived here for thirty years.	我喺呢度住咗卅年喇。
I have no money, but I have dreams.	我冇錢，但係我有夢想。
I like this skirt. May I try it on?	呢條裙都幾靚喎，可唔可以試著㗎？
I think they'll make a cute couple.	我覺得佢哋兩個應該會幾襯吖。
I took to her the moment I met her.	我對佢一見鐘情。
I want to be a pilot in the future.	我第時想做飛機師。
I want to tell you a strange thing.	我想講件怪事俾你聽。
I would like to learn how to dance.	我想學跳舞。
I'll let you know when she arrives.	佢到咗嗰陣我會話你知。
I'm going to bring Tom some dinner.	我帶啲嘢食俾Tom做晚餐。
I'm going to bring Tom some dinner.	我帶啲嘢俾Tom食夜晚。
I'm sorry, my mother's not at home.	唔好意思呀，我呀媽唔喺屋企。
I'm very sorry I came home so late.	我咁夜先返真係對唔住呀。
Is there a gas station around here?	呢度附近有無加油站㗎？
Is there a post office around here?	呢度附近有無郵政局？
It's time for you to buy a new car.	你係時候買返㗎新車喇喎。
May I have a glass of beer, please?	一杯啤酒吖唔該。
My sister made me a beautiful doll.	我家姐整咗個好靚嘅公仔俾我。
My sister made me a beautiful doll.	我阿妹整咗個好靚嘅公仔俾我。
My watch loses three minutes a day.	我隻錶每日慢三分鐘。
Please fill this bucket with water.	唔該你裝啲水落呢個桶度吖。
Please introduce me to a cute girl.	介紹個靚女俾我識啦。
Please turn up the air conditioner.	唔該你開大啲冷氣吖。
She became engaged to the rich man.	佢同嗰個有錢佬訂咗婚。
She couldn't suppress her emotions.	佢壓抑唔到感情。
She gave birth to twins a week ago.	佢一個禮拜之前生咗個雙胞胎。
She put down her thoughts on paper.	佢將佢諗到嘅嘢寫咗落張紙到。
She took an examination in English.	佢用英文考咗個試。
Since I was thirsty, I drank water.	因為我好頸渴，所以我飲咗啲水。
Tell me you didn't see that coming.	同我講你冇預計到啱啱件事。
The clock gains five minutes a day.	個鐘每日都會快五分鐘。
The door opened and a man came out.	有個男人開門走咗出嚟。
The old man possesses great wealth.	個阿伯坐擁巨額身家。
The sushi at this shop tastes good.	呢間舖頭啲壽司好好食。
The tickets sold out within a week.	啲飛一個禮拜都唔使就賣晒喇。
There are many craters on the moon.	月球上面有好多坑。
There are six people including him.	計埋佢有六個人。
There is a television in this room.	呢間房裏面有部電視機。
They are generous with their money.	佢哋俾錢俾得好豪爽。
This is the second time I've flown.	今次係我第二次搭飛機。
Three people were slightly injured.	有三個人受咗輕傷。
Tom doesn't know where Mary is now.	Tom唔知依家Mary喺邊。
Tomorrow, he will land on the moon.	聽日佢會喺月球著陸。
Tomorrow, he will land on the moon.	聽日佢會喺月球降落。
We have a long journey ahead of us.	我哋嚟緊仲有好長嘅路要走。
We have lots of snow in the winter.	一到咗冬天就會落好多雪。
We have time to sing one more song.	我哋夠時間唱多一首歌。
We have to do the best that we can.	我哋要出盡全力做到最好。
We haven't had any problems so far.	我哋暫時仲未遇到問題。
We were attacked by swarms of bees.	我哋俾成班蜜蜂攻擊。
We're sure that it was an accident.	我哋好肯定嗰個係一場意外。
What do you think she is doing now?	你話佢而家喺度做緊啲咩吖嗱？
When I got home, I was very hungry.	我返到屋企嗰陣好鬼肚餓。
Where did you pick up your Italian?	你啲意大利文喺邊度學返嚟㗎？
Write these words in your notebook.	將呢啲生字寫落你本簿度吖。
You can keep this one for yourself.	呢個你可以自己keep返。
You might as well go kill yourself.	你唔好去死？
You might as well go kill yourself.	你不如死咗去算啦。
Your daughter isn't a girl anymore.	你個女唔係女仔喇。
"Is he seriously ill?" "I hope not."	「佢係咪病得好犀利？」「希望唔係啦。」
"Whose chair is this?" "It is mine."	「呢張櫈邊個㗎？」「我㗎。」
Did you have breakfast this morning?	你今朝有無食早餐呀？
Didn't I tell you to close the door?	我冇叫你閂埋道門咩？
Do you know how to use this machine?	你識唔識得用呢部機呀？
Get your mother to do your homework!	叫你阿媽幫你做功課啦！
He does not know how to drive a car.	佢唔識揸車㗎。
He got hurt in the accident at work.	佢返工嗰陣出咗意外，受咗傷。
He is good at dealing with children.	佢好識同小朋友相處。
He lent me what little money he had.	佢將佢淨返嗰少少錢都借晒俾我。
He plays the piano better than I do.	佢彈琴彈得好過我。
His name is on the tip of my tongue.	佢個名已經到咗口唇邊喇。
How did you come to know each other?	你哋係點識㗎？
How long is your Christmas vacation?	你聖誕假放幾耐呀？
I always read the sports page first.	我永遠都係睇咗體育版先。
I am very pleased with my new house.	我對我間新屋好滿意。
I bought this camera for 25,000 yen.	我用二萬五千円買咗呢部相機。
I don't know what to do from now on.	我唔知由而家開始我要做乜。
I don't like the substitute teacher.	我唔鍾意個代課老師。
I don't remember where I put my key.	我醒唔起我擺咗條鎖匙喺邊度。
I don't think I need to lose weight.	我唔覺得我要減肥喎。
I don't want anything for Christmas.	我聖誕節冇乜特別嘢想要。
I forgot that Cristina read English.	我唔記得咗Cristina讀過英文。
I had my pocket picked on the train.	我喺架火車度俾人撻咗嘢。
I will never tell a lie from now on.	我由而家開始唔會再講大話㗎喇。
I will stay here till three o'clock.	我會喺呢度留到三點。
I'd like to reserve a table for two.	我想訂一張雙人枱。
I'm sorry you got dragged into this.	拖埋你落水真係唔好意思呀。
I'm trying to save room for dessert.	我盡量留肚食甜品。
It is necessary for you to help her.	你一定要幫吓佢。
It seems like there's no money left.	睇嚟好似冇晒錢囉喎。
It seems to me that you don't agree.	我見到你好似唔同意。
It's OK with me if it's OK with you.	如果你冇所謂，我都冇所謂。
It's all over for me. I lost my job.	我玩完喇。我冇咗份工呀。
Korean food is generally very spicy.	韓國菜一般都好辣。
Life is often compared to a journey.	我哋成日將人生比做一場旅程。
Miniskirts have gone out of fashion.	迷你裙已經 out 咗啦。
My camera is much better than yours.	我部相機靚過你嗰部好多。
My cat ran away and never came back.	我隻貓走甩咗，跟住就冇返過嚟。
My father neither drinks nor smokes.	我老豆唔飲酒唔食煙。
My father works for a power company.	我老豆喺電力公司度做嘢。
My house was broken into last night.	我屋企尋晚俾人爆格。
My mother bakes bread every morning.	我阿媽每朝都會焗麵包食。
My watch loses three minutes a week.	我隻錶每個禮拜慢三分鐘。
Next summer, I want to go to Hawaii.	我出年夏天想去夏威夷。
Open the door and let me in, please.	求吓你開門俾我入嚟啦。
Rome has a lot of ancient buildings.	羅馬有好多古建築。
Some apples fell down from the tree.	有啲蘋果喺棵樹度跌咗落嚟。
Sunday is the day when I am busiest.	星期日係我喺一個禮拜入面最忙嘅一日。
The United States is next to Canada.	美國喺加拿大隔離。
The actors are waiting on the stage.	班演員喺舞台上面等緊。
The bus drivers are on strike today.	啲巴士司機今日罷工。
The calculator on the table is mine.	張枱上面嗰部計數機係我嘅。
The driver asked me which way to go.	個司機問我應該行邊邊。
There are sixty seconds in a minute.	一分鐘有六十秒。
This movie is suitable for children.	呢套電影啱小朋友睇。
This table is just as large as ours.	呢張枱同我哋屋企嗰張一樣大。
Tom can swim much faster than I can.	阿Tom游水快過我好多。
Tom doesn't give me flowers anymore.	阿Tom冇送花俾我喇。
Water becomes solid when it freezes.	水結咗冰就會變做固體。
We don't know what we're up against.	我哋唔知我哋嘅對手係邊個。
We were crowded into the small room.	我哋逼咗入間細房度。
What did you buy for your boyfriend?	你買咗啲咩俾你男朋友呀？
What if he should happen to be late?	萬一佢遲到噉點算呀？
Where do you want to go this summer?	今個夏天你諗住去邊度玩呀？
Would you speak more slowly, please?	你可唔可以講慢少少呀？
You're the only one who can help me.	你係唯一一個幫到我嘅人。
Am I pronouncing your name correctly?	我有冇讀錯你個名呀？
Am I pronouncing your name correctly?	我讀啱你個名個可？
Call me up whenever you need my help.	你有咩要我幫手就打電話嚟搵我囉喎。
China is the largest country in Asia.	中國係亞洲最大嘅國家。
Christmas is just two weeks from now.	仲有兩個禮拜就到聖誕節喇。
Do they sell notebooks at that store?	嗰間舖頭賣唔賣筆記簿㗎？
Do you enjoy singing Christmas songs?	你鍾唔鍾意唱聖誕歌呀？
Do you go to church on Christmas Day?	你聖誕節會唔會返教會㗎？
Do you have an extra shelf I can use?	你有冇多一個架可以俾我用㗎？
Do you know if she can speak English?	你知唔知佢識講英文㗎？
Do you know the meaning of this word?	你知唔知呢個字點解呀？
Everybody says I look like my father.	啲人個個都話我同我老豆好似樣。
French was the language of diplomacy.	法文曾經係外交語言。
Have you already signed the contract?	你係咪已經簽咗份約喇？
He got up an hour early this morning.	佢今朝早咗一個鐘起身。
He must be crazy to say such a thing.	佢講埋啲噉嘅嘢，實係痴咗線喇。
He went from Tokyo to Osaka by plane.	佢喺東京搭飛機去咗大阪。
His dog follows him wherever he goes.	佢行到邊度，佢隻狗就跟到邊度。
I didn't have breakfast this morning.	我今朝冇食早餐。
I don't have anything to write about.	我冇嘢好寫。
I feel like I've become someone else.	我覺得好似變咗第二個人咁。
I had my hair cut at a barber's shop.	我去咗髮型屋剪頭髮。
I haven't finished reading this book.	我仲未睇完呢本書。
I love music, particularly classical.	我好鍾意音樂，尤其係古典音樂。
I miss my elementary school teachers.	我好掛住小學啲老師。
I remember that man's name very well.	佢個名我記得好清楚。
I said nothing, which made her angry.	我粒聲唔出，搞到佢好嬲。
I see why you don't want to go there.	我明你點解唔想去喇。
I thought that would be a great idea.	我以為係好主意。
I want to spend all my time with you.	我想啲時間用曬嚟同你一齊。
I was in the hospital for a few days.	我入咗幾日醫院。
I was in the hospital for a few days.	我入咗幾日廠。
I would like to have a cup of coffee.	我想飲杯咖啡。
I'm sorry I couldn't be more helpful.	唔好意思呀，幫你唔到。
If you need a pen, I'll lend you one.	如果你要筆，我就借支俾你啦。
Imagine that you have a time machine.	如果你有一部時光機⋯⋯
Jeans are now in fashion among girls.	呢排啲女仔好興著牛仔褲。
Let's walk on the beach after dinner.	我哋食完晚飯，不如去海灘散步吖。
My ballpoint pen just ran out of ink.	我支原子筆冇晒墨喇。
My father listens to classical music.	我阿爸聽古典音樂。
My father takes a walk every morning.	我阿爸每朝都會去散步。
On a clear day, you can see Mt. Fuji.	出太陽嗰陣，就見到富士山㗎喇。
Only my mother really understands me.	真正明白我嘅人淨係得我阿媽一個。
She used to play tennis every Sunday.	佢以前逢親禮拜日都會去打網球。
She was beautiful when she was young.	佢後生嗰陣好靚。
That all happened in just three days.	呢一切一切都喺三日之內發生。
The doors on the left side will open.	左邊嘅車門將會打開。
The girl standing over there is Mary.	企喺嗰度嗰個女仔就係 Mary 喇。
The school will provide tents for us.	學校會提供帳篷俾我哋。
There is no water left in the bottle.	個樽入面已經冇晒水喇。
There's nothing more to be done here.	呢度冇嘢做喇喎。
They are likely to agree to our plan.	佢哋好有可能會贊成我哋個計劃。
This is the watch I bought yesterday.	呢隻錶我尋日買嘅。
This song reminds me of my childhood.	呢首歌令我諗返起我細個嗰陣啲嘢。
Three more passengers got on the bus.	跟住又有三個人上咗架巴士。
Tom comes here almost every Saturday.	Tom差唔多個個星期六都嚟呢度。
Tom said there's problem with the TV.	阿Tom話部電視機有啲問題。
Tom taught me a lot of useful things.	阿Tom教咗我好多有用嘅嘢。
We chose her a nice birthday present.	我哋揀咗份好靚嘅生日禮物俾佢。
We differ from them in some respects.	我哋有某啲地方同佢哋唔同。
We don't have to talk about this now.	我哋依家唔一定要講呢樣嘢。
We need to find a safe place to hide.	我哋要搵一個安全嘅地方匿埋。
We need to get rid of all this stuff.	我哋要抌晒呢堆嘢佢。
We ran into them at the bus terminal.	我哋喺巴士總站度撞到佢哋。
What do you want to talk to me about?	你想同我傾啲咩呀？
What's your favorite Christmas carol?	你最鍾意邊首聖誕歌呀？
Where will you be this time tomorrow?	你聽日呢個時間會喺邊度？
Who is the man sitting in the corner?	坐喺角落頭嗰個男人係邊個嚟㗎？
Will you come with me to the concert?	你同唔同我一齊去聽音樂會呀？
Would you like another piece of cake?	你要唔要多舊蛋糕呀？
You aren't afraid of ghosts, are you?	你唔怕鬼個可？
You can swim much better than he can.	你游水游得好過佢好多。
You have only to sign your name here.	你喺呢度簽個名就得㗎喇。
You shouldn't be so picky about food.	你唔應該咁揀飲擇食。
"The phone is ringing." "I'll get it."	「電話響喎。」「我聽吖。」
"What happened?" "The car broke down."	「咩事呀？」「架車死咗火。」
Break the chocolate into small pieces.	將塊朱古力整成細塊。
Can I borrow your tennis racket today?	今日可唔可以借你個網球拍嚟用呀？
Do you go to school on foot every day?	你係咪日日都行路返學㗎？
Everyone was listening very carefully.	個個都好專心噉聽緊。
From now on, I promise to be punctual.	我保證我以後都會準時㗎喇。
He earns more money than he can spend.	佢賺咁多錢，根本都用唔晒。
He gets a haircut three times a month.	佢一個月剪三次頭髮。
His car broke down on the way to work.	佢揸揸吓車返工，架車就突然間死咗火。
How many Christmas cards did you send?	你寄咗幾多張聖誕卡俾人呀？
How many apples do you want me to buy?	你想我買幾多個蘋果呀？
How many books are there on the table?	張枱上面有幾多本書呀？
How many cats are there in this house?	呢間屋入面有幾多隻貓呀？
How many hours did you work this week?	你今個禮拜返咗幾多個鐘呀？
I can't come up with a plan right now.	我依家諗唔到個計劃呀。
I can't come up with a plan right now.	我依家諗唔到方法。
I don't want to talk to Tom right now.	我而家唔想同阿Tom講嘢。
I feel uneasy in my father's presence.	我阿爸喺度嗰陣，我就會周身唔自在。
I give you plenty of money each month.	我每個月俾好多錢你。
I have a friend who cuts his own hair.	我有個朋友會自己幫自己剪頭髮。
I have something I want to say to you.	我有啲嘢想同你講。
I prefer traveling by train to flying.	我鍾意坐火車多過搭飛機。
I thought I told you to cut your hair.	我唔係叫咗你去剪頭髮嘅咩？
I wish none of this had ever happened.	如果呢一切都冇發生過就好喇。
I'll give you a day to think about it.	我俾一日時間你考慮。
In Japan, it's very hot in the summer.	日本夏天好熱。
It is said that truth always triumphs.	有人話真理必勝。
Last night, he studied all night long.	佢尋日溫咗成晚書。
Look at that building. Is it a temple?	睇吓嗰座建築物。係咪廟嚟㗎？
May I have the menu and the wine list?	麻煩你俾個餐牌同酒單我吖唔該。
My boy can't do addition properly yet.	我個仔仲未識計加數。
No one believes what Tom says anymore.	冇人會再信阿Tom講嘅嘢。
Nothing is more important than health.	無咩嘢重要得過健康。
Politicians are good at raising money.	啲政客好識賺錢。
She gave the children two apples each.	佢俾啲細路每人兩個蘋果。
She plays piano as well as the guitar.	佢除咗識彈琴，仲識彈結他添。
She poured boiling water into the cup.	佢倒咗啲滾水落個杯度。
That dress seems to be very expensive.	嗰條裙睇落好似好貴噉。
The boy standing over there is my son.	企喺嗰度嗰個男仔係我個仔嚟㗎。
The boy went to bed with his socks on.	個男仔連襪都未除就走咗去瞓覺。
The child missed his mother very much.	個細路好掛住佢阿媽。
The wet vase left a mark on the table.	個花樽喺張枱度留低咗啲水跡。
Their equipment is extremely advanced.	佢哋嘅設備非常先進。
There are several forms of government.	政府有幾種形態。
They are very interested in astronomy.	佢哋對天文學好有興趣。
They went into the woods for a picnic.	佢哋去咗森林野餐。
This is the pen that I lost yesterday.	呢支就係我尋日整唔見嗰支筆喇。
This rule doesn't apply to every case.	呢條規則唔係幾時都啱用㗎。
Thomas Edison invented the light bulb.	愛迪生發明咗電燈膽。
We are leaving early tomorrow morning.	我哋聽朝好早出發。
What is the language spoken in Brazil?	巴西講咩文㗎？
When Dad came home, I was watching TV.	阿爸返到屋企嗰陣，我喺度睇緊電視。
Why do some people not like Christmas?	點解有啲人會唔鍾意聖誕節嘅？
Would you mind turning down the radio?	可唔可以較細聲啲部收音機呀？
You can stay here till the snow stops.	你可以等啲雪停咗先走。
You may go cycling if it doesn't rain.	如果唔落雨嘅話，你可以去踩單車。
You should learn to restrain yourself.	你應該學吓控制自己嘅情緒。
"Will he come?" "No, I don't think so."	「佢會唔會嚟㗎？」「我諗唔會喇。」
Are there any movie theaters near here?	呢頭有無戲院㗎？
Are you coming home for dinner tonight?	你今晚返唔返嚟食㗎？
Can I speak to you for a moment please?	可唔可以同你講幾句？
Can I speak to you for a moment please?	可唔可以同你講兩句？
Could you please speak a little slower?	你可唔可以講慢少少？
December is the last month of the year.	十二月係一年嘅最後一個月。
Did you see a brown wallet around here?	你有冇喺附近見過一個啡色銀包？
Don't judge a person by his appearance.	唔好以貌取人。
Eating too much is bad for your health.	食太多嘢對身體唔好㗎。
Get rid of that heap of old newspapers.	抌咗疊舊報紙佢啦。
Have you ever gone to see a horse race?	你有冇去睇過跑馬？
He caused his parents a lot of anxiety.	佢搞到阿爸阿媽好擔心。
He would be very glad to hear the news.	佢聽到呢個消息，實會開心到彈起。
He's a professor of biology at Harvard.	佢係哈佛大學嘅生物學教授。
I am certain that he will quit his job.	我肯定佢會辭咗份工。
I asked her to call me at five o'clock.	我叫佢五點打電話俾我。
I can't see anything with my right eye.	我隻右眼咩都睇唔到。
I feel that I understand your feelings.	你嘅心情我諗我明白嘅。
I get bored quickly in everything I do.	我做咩都係三分鐘熱度。
I like grapes, but I can't eat so many.	我係鍾意食提子，不過咁多就真係食唔落。
I looked up the words in my dictionary.	我攞我本字典嚟查咗嗰幾隻字。
I may have left my umbrella in the bus.	我可能漏咗把遮喺巴士度。
I prefer French films to American ones.	我鍾意法國電影多過美國電影。
I think watching TV is a waste of time.	我覺得睇電視好嘥時間。
I was sure I had never seen her before.	我肯定我冇見過佢。
I wonder if I should answer his letter.	我應唔應該回信俾佢呢？
I would like to pay with a credit card.	我想用信用卡俾錢。
I'm looking for books on Roman history.	我喺度搵緊啲講古羅馬歷史嘅書。
It is important for him to get the job.	嗰份工對佢嚟講好重要。
It will go away by itself in two weeks.	兩個禮拜就會自己好返㗎喇。
Make sure that the dog does not escape.	唔好俾隻狗走甩。
My father does not always walk to work.	我阿爸唔係日日都行路返工㗎。
Now it's time for the weather forecast.	宜家係天氣報告嘅時間。
Nowadays children do not play outdoors.	而家啲細路唔會通山跑㗎喇。
Only a handful of people know the fact.	知道個真相嘅人淨係得幾個。
She is particular about what she wears.	佢著衫好講究。
Stop complaining and do as you're told.	唔好喺度嫌三嫌四，叫你點做就點做。
That's why I told you not to go by car.	所以我咪叫你咪鬼搭車去囉。
The dress I like most is the black one.	我最鍾意嗰條裙係黑色嗰條。
The news finally reached me last night.	尋晚單消息終於傳到我度。
The noise is getting louder and louder.	啲噪音愈嚟愈大聲。
The picture looks better at a distance.	幅畫遠啲睇好啲。
There are a lot of dishes on the table.	張枱上面有好多隻碟。
There are a lot of dishes on the table.	張枱上面有好多碟餸。
Three children are playing in the park.	有三個細路哥喺公園到玩緊。
Tom knocked on the door to Mary's room.	Tom 敲咗 Mary 房門。
Tom's great-grandfather was born blind.	Tom嘅太爺一出世就盲㗎喇。
Tom's great-grandfather was born blind.	Tom嘅太公天生係盲嘅。
We have a lot of problems to deal with.	我哋有好多問題要處理。
What do you usually have for breakfast?	你早餐通常食啲咩㗎？
What is the emergency telephone number?	緊急聯絡電話幾多號呀？
What's that picture inside your locker?	你儲物櫃入面幅相係咩嚟？
Where were you when I needed your help?	我需要你嗰陣你去咗邊？
Where would you like to go next Sunday?	你下個禮拜日諗住去邊呀？
Who can tell me how a light bulb works?	有冇人可以話我聽電燈膽嘅原理係點㗎？
You seem to know a great deal about me.	你好似知道好多關於我嘅嘢噉喎。
You should eat something before you go.	你應該食啲嘢先走。
You should sleep for eight hours a day.	你應該每日瞓八粒鐘。
You should think about your retirement.	你應該諗吓你退休。
You were asleep by the time I got home.	我返到屋企嗰陣你已經瞓著咗喇。
A rabbit has long ears and a short tail.	兔仔對耳好長、條尾好短。
As soon as I got home, it began to rain.	我一返到屋企就開始落雨喇。
Can you recommend any vegetarian dishes?	可唔可以介紹幾味齋菜呀？
China is twenty times as large as Japan.	中國有日本二十倍咁大。
China is twenty times bigger than Japan.	中國大過日本二十倍。
Did you practice the piano this morning?	你今朝有冇練琴呀？
Do you have any grounds for thinking so?	你噉嘅諗法有冇根據㗎？
Do you have time the day after tomorrow?	你後日得唔得閒呀？
Do you know where the police station is?	你知唔知差館喺邊呀？
Father and I go fishing once in a while.	我同我阿爸間唔中會去釣吓魚。
Give this ticket to whoever comes first.	邊個第一個嚟，就俾呢張飛佢。
Have you ever been to a foreign country?	你有無去過外國呀？
Have you finished reading the newspaper?	你睇完份報紙未呀？
He doesn't want me to go, but I mean to.	佢唔想我去，但係我諗住去。
He got mad at me for calling him Shorty.	我叫佢做「矮仔」，佢就嬲到紮紮跳。
He is the last man to break his promise.	佢絕對唔係嗰種下巴輕輕嘅人。
He promised to return and yet he didn't.	佢應承咗話會返嚟，但係都係冇返嚟。
He was standing at the side of the road.	佢企喺路邊。
I am not sure how to pronounce the word.	我唔係好肯定呢個字應該點讀。
I don't know if I'll have time to do it.	我唔知我有無時間搞呢件事。
I don't know whether to cry or to laugh.	我真係唔知笑好定喊好。
I had trouble falling asleep last night.	我尋晚瞓唔著。
I have to introduce Mary to the manager.	我要介紹阿Mary俾經理識。
I haven't seen him for a very long time.	我好耐冇見過佢喇。
I like white roses better than red ones.	我鍾意白玫瑰多過紅玫瑰。
I miss my elementary teachers very much.	我好掛住小學啲老師。
I still have not learned to drive a car.	我仲未學識揸車。
I will be leaving for Morocco next week.	我下個禮拜出發去摩洛哥。
I'll eat my hat if she turns up on time.	如果佢準時嚟到，我就切個頭落嚟俾你當凳坐。
