Hi.	Cső!
They left the room one by one.	Egyesével hagyták el a termet.
They left the room one by one.	Sorban hagyták el a termet.
They left the room one by one.	Egymás után kimentek a teremből.
They might be taller than you.	Lehet, hogy magasabbak, mint ön.
They went their separate ways.	Külön utakon jártak.
They were always good friends.	Mindig jó barátok voltak.
They were watching television.	Éppen tévét néztek.
They will hold talks tomorrow.	Holnap fognak tárgyalni.
They work only during the day.	Csak nappal dolgoznak.
This box contains five apples.	Ebben a ládában öt alma van.
This heating system burns oil.	Ez a rendszer olajjal fűt.
This is all entirely my fault.	Ez mind teljes egészében az én hibám.
This is none of your business.	Nem tartozik rád.
This is the best time of year.	Ez az év legjobb időszaka.
This is the life that I chose.	Ez az az élet, amit választottam.
This is way more than we need.	Ez sokkal több, mint amennyire szükségünk van.
This is where I draw the line.	Itt húzom meg a határt.
This isn't really Tom's fault.	Ez nem igazán Tom hibája.
This movie has a happy ending.	Ez a film jól végződött.
This story has a happy ending.	Vidám vége van a történetnek.
This time I'm very optimistic.	Ezúttal nagyon optimista vagyok.
This time it's my turn to pay.	Ez alkalommal én fizetek.
This was your idea, wasn't it?	Ez a te ötleted volt, igaz?
This watch keeps correct time.	Ez az óra a pontos időt mutatja.
This wine is made from grapes.	Ez szőlőbor.
Those colors go well together.	Ezek a színek jól illenek egymáshoz.
Those men are speaking French.	Azok a férfiak franciául beszélnek.
Tokyo is the capital of Japan.	Tokió Japán fővárosa.
Tom accidentally shot himself.	Tom meglőtte magát véletlenül.
Tom almost spilled his coffee.	Tom majdnem kiöntötte a kávéját.
Tom and I used to argue a lot.	Régebben Tomival sokat vitatkoztunk.
Tom and John are good friends.	Tom és John jó barátok.
Tom and Mary trust each other.	Tomi és Mari megbíznak egymásban.
Tom asked Mary where John was.	Tom megkérdezte Maryt, hogy hol van John.
Tom asked me if I were hungry.	Kérdezett Tom, hogy éhes vagyok-e.
Tom asked me to shut the gate.	Tom megkért, hogy csukjam be a kaput.
Tom asked me to shut the gate.	Tom kérte tőlem, hogy tegyem be a kaput.
Tom bought a present for Mary.	Tom vásárolt egy ajándékot Marynek.
Tom bought something for Mary.	Tomi vett valamit Marinak.
Tom brought Mary some flowers.	Tomi virágot hozott Marinak.
Tom came yesterday to see you.	Tegnap Tom azért jött, hogy meglátogasson.
Tom can speak French a little.	Tom kicsit beszél franciául.
Tom can speak French a little.	Tom beszél egy keveset franciául.
Tom can speak French fluently.	Tom folyékonyan beszél franciául.
Tom can speak a little French.	Tom kicsit beszél franciául.
Tom can speak a little French.	Tom beszél egy keveset franciául.
Tom can't grow a mustache yet.	Tomi még nem tud bajuszt növeszteni.
Tom chained himself to a tree.	Tom egy fához láncolta magát.
Tom claims he never said that.	Azt állítja Tomi, hogy ő soha nem mondott ilyet.
Tom couldn't have helped Mary.	Tomi nem tudott segíteni Marinak.
Tom currently lives in Boston.	Tom jelenleg Bostonban lakik.
Tom didn't have a sore throat.	Tomnak nem fájt a torka.
Tom didn't tell me his secret.	Tom nem árulta el nekem a titkát.
Tom didn't tell me to do that.	Tom nem mondta nekem, hogy ezt tegyem.
Tom didn't want to marry Mary.	Tom nem akarta Máriát feleségül venni.
Tom died at the age of thirty.	Tomi harmincéves korában halt meg.
Tom died from a drug overdose.	Tom drog-túladagolásban halt meg.
Tom does what is asked of him.	Tom megteszi, amit kérnek tőle.
Tom doesn't have enough money.	Tomnak nincs elegendő pénze.
Tom doesn't have to stay here.	Tamásnak nem kell itt maradnia.
Tom doesn't need to know that.	Tamásnak nem kell tudnia róla.
Tom drinks only bottled water.	Tamás csak palackos vizet iszik.
Tom ended up going by himself.	Tom végül aztán egyedül ment.
Tom expressed himself clearly.	Tom világosan fejezte ki magát.
Tom failed to understand that.	Tom ezt nem értette.
Tom feeds his dog twice a day.	Tom minden nap kétszer ad enni a kutyájának.
Tom feeds his dog twice a day.	Tom a kutyájának minden nap kétszer ad enni.
Tom finally solved the puzzle.	Végül megoldotta Tomi a talányt.
Tom gave Mary a second chance.	Tomi adott Marinak egy második esélyt.
Tom gets along fine with Mary.	Szépen kijönnek egymással Tamás és Mária.
Tom gets along well with Mary.	Tomi jól kijön Marival.
Tom giggled like a schoolgirl.	Tom úgy vihogott, mint egy iskoláslány.
Tom grew up on a farm in Iowa.	Tom Iowában nőtt fel egy farmon.
Tom had lots of opportunities.	Tomnak sok lehetősége volt.
Tom had no reason to be angry.	Tomnak nem volt oka haragra.
Tom handed his son a lollipop.	Tom a fia kezébe nyomott egy nyalókát.
Tom has a fertile imagination.	Tominak van egy gyümölcsöző elképzelése.
Tom has a terrible reputation.	Tomnak borzalmas hírneve volt.
Tom has already left for work.	Tom már elment dolgozni.
Tom has an odd sense of humor.	Tomnak furcsa a humorérzéke.
Tom has done everything wrong.	Tomi mindent rosszul csinált.
Tom has thought of everything.	Tom mindent meggondolt.
Tom has thought of everything.	Tom mindent átgondolt.
Tom has three younger sisters.	Tomnak három húga van.
Tom hasn't actually done that.	Valójában ezt Tom nem tette meg.
Tom hasn't had much education.	Tom nem valami művelt.
Tom hasn't learned his lesson.	Tom nem tanulta meg a leckéjét.
Tom hasn't made much progress.	Tom nem sok lépést tett előre.
Tom hasn't opened the box yet.	Tom még nem nyitotta ki a dobozt.
Tom hasn't talked to Mary yet?	Még nem beszélt Tom Maryvel?
Tom heard someone calling him.	Tom hallotta, hogy valaki hívja őt.
Tom heard someone calling him.	Tom hallotta, hogy valaki őt szólítja.
Tom heard sounds in the house.	Tom hangokat hallott a házban.
Tom heard that Mary got a job.	Tom hallotta, hogy Mary munkát kapott.
Tom heard that Mary got a job.	Tom hallotta, hogy Mary munkát talált.
Tom held the baby in his arms.	Tom a karjában tartotta a babát.
Tom hurt himself when he fell.	Tom megsérült, amikor elesett.
Tom insisted on his innocence.	Tom fenntartotta ártatlanságát.
Tom insists on talking to you.	Tom ragaszkodik hozzá, hogy beszéljen veled.
Tom insists on talking to you.	Tom ragaszkodik ahhoz, hogy beszélhessen veled.
Tom is a good man for the job.	Tom a megfelelő ember a munkára.
Tom is a very charismatic man.	Tom nagyon karizmatikus férfi.
Tom is a very creative person.	Tom nagyon kreatív ember.
Tom is a video game developer.	Tamás videojáték-fejlesztő.
Tom is a well-informed person.	Tomi jól informált.
Tom is afraid he'll get fired.	Tomi majrézik, hogy kirúgják.
Tom is an excellent guitarist.	Tom kiváló gitáros.
Tom is easy to get along with.	Tomival könnyű kijönni.
Tom is easy to get along with.	Tomival könnyű szót érteni.
Tom is going to need our help.	Tominak szüksége lesz a segítségünkre.
Tom is hard to get along with.	Tomival nehéz kijönni.
Tom is hard to get along with.	Tomi egy kemény dió.
Tom is not a very good dancer.	Tom nem egy nagyon jó táncos.
Tom is now very angry with me.	Tom most nagyon dühös rám.
Tom is on the verge of crying.	Tom a sírás határán van.
Tom is one of my best friends.	Tomi az egyik a legjobb barátaim közül.
Tom is playing the violin now.	Tom éppen most hegedül.
Tom is reading a history book.	Tom egy történelemkönyvet olvas.
Tom is running short of funds.	Tomnak kezd elfogyni a pénze.
Tom is scared to talk to Mary.	Tomi fél attól, hogy beszéljen Marival.
Tom is taller than his mother.	Tom magasabb, mint az édesanyja.
Tom is the best father I know.	Tom a legjobb apa, akit ismerek.
Tom is the defending champion.	Tom a címvédő bajnok.
Tom is the guy with the beard.	Az a szakállas fickó Tomi.
Tom is the tallest man I know.	Tom a legmagasabb férfi, akit ismerek.
Tom is under extreme pressure.	Tom extrém nyomás alatt áll.
Tom is waiting in the hallway.	Tamás a folyosón vár.
Tom is watching the boob tube.	Tom nézi a tévét.
Tom is working on a new novel.	Tom egy új regényt ír.
Tom is working on a new novel.	Tom egy új regényen munkálkodik.
Tom isn't as handsome as John.	Tom nincs annyira jóképű, mint John.
Tom isn't like the other boys.	Tom nem olyan, mint a többi fiú.
Tom killed himself in October.	Tomi öngyilkos lett októberben.
Tom knows that Mary likes him.	Tom tudja, hogy Mary szereti őt.
Tom lied on the witness stand.	Tom hazudott a bíróság előtt tett tanúvallomásában.
Tom lied on the witness stand.	Tom hazudott a tanúk padján.
Tom lives and works in Boston.	Tom Bostonban él és dolgozik.
Tom looked closer at the food.	Tom megnézte az ételt közelebbről.
Tom looked down at the carpet.	Tom lenézett a szőnyegre.
Tom looked down at the carpet.	Tomi a szőnyegre pillantott.
Tom looked down at the ground.	Tom lepillantott a földre.
Tom looked down at the letter.	Tom lenézett a levélre.
Tom looked scared and worried.	Úgy tűnt, Tomi fél valamitől és aggodalmaskodik.
Tom looked surprised, as well.	Tomi szintén meglepettnek tűnt.
Tom looked towards the camera.	Tom a kamera felé pillantott.
Tom looked towards the camera.	Tomi belenézett a fényképezőbe.
Tom looks like he has an idea.	Úgy tűnik, Tominak van egy ötlete.
Tom looks pretty normal to me.	Számomra Tom elég normálisnak látszik.
Tom made an angel in the snow.	Tom hóangyalt készített.
Tom made spaghetti for dinner.	Tom spagettit készített vacsorára.
Tom may come tomorrow morning.	Tom holnap reggel tud jönni.
Tom might know how to do this.	Talán Tom tudja, hogy kell ezt csinálni.
Tom might not be able to swim.	Elképzelhető, hogy Tom nem tud úszni.
Tom might not want to do that.	Lehet, hogy Tom ezt nem akarja.
Tom needs a blood transfusion.	Tomnak vérátömlesztésre van szüksége.
Tom needs you more than we do.	Tominak nagyobb szüksége van rád, mint nekünk.
Tom obviously knows his stuff.	Tom nyilván ismeri ezeket a dolgokat.
Tom often worries about money.	Tom gyakran aggódik a pénz miatt.
Tom opened a can of tuna fish.	Tom kinyitott egy tonhalas konzervet.
Tom opened the window a crack.	Tom résnyire nyitotta az ablakot.
Tom plays organ at our church.	Tom játszik orgonán a templomunkban.
Tom pleaded guilty in October.	Tom bűnösnek vallotta magát októberben.
Tom pretended he wasn't there.	Tom úgy tett, mintha ott sem lenne.
Tom probably knows the answer.	Tom valószínűleg tudja a választ.
Tom pulled Mary into his arms.	Tomi karjaiba zárta Marit.
Tom put his hand on his heart.	Tomi a szívére rakta a kezét.
Tom reads the Bible every day.	Tamás minden nap olvassa a Bibliát.
Tom really improved this week.	Tom sokat fejlődött ezen a héten.
Tom really thinks things over.	Tom igazán átgondolja a dolgokat.
Tom resigned in early October.	Tom lemondott október elején.
Tom retired earlier this year.	Tom az idén korán visszavonult.
Tom retired several years ago.	Tom nyugdíjba ment néhány évvel ezelőtt.
Tom retired several years ago.	Tom nyugdíjba ment néhány éve.
Tom said he did nothing wrong.	Azt mondta Tomi, semmi rosszat nem tett.
Tom said he would do it again.	Azt mondta Tom, még egyszer megcsinálja.
Tom said he'd almost given up.	Azt mondta Tom, már majdnem feladta.
Tom said that he lost his key.	Mondta Tomi, hogy elvesztette a kulcsát.
Tom said we should be patient.	Tom azt mondta, hogy legyünk türelmesek.
Tom says that he didn't do it.	Tom azt mondja, hogy nem ő tette.
Tom should apply for this job.	Tomnak jelentkeznie kéne az állásra.
Tom showed us around the city.	Tom végigkalauzolt minket a városon.
Tom sleeps on the bottom bunk.	Tom alszik az alsó ágyon.
Tom sometimes comes home late.	Tom néha későn jön haza.
Tom sometimes comes to see me.	Tom néha meg szokott látogatni.
Tom spent thirty days in jail.	Tom harminc napot töltött börtönben.
Tom spoke with Mary in French.	Tomi franciául beszélt Marival.
Tom stayed in touch with Mary.	Tom kapcsolatban maradt Maryvel.
Tom suffers from chronic pain.	Tamás krónikus fájdalomtól szenved.
Tom thinks you know something.	Tom azt gondolja, hogy tudsz valamit.
Tom threw his old wallet away.	Tom kidobta a régi pénztárcáját.
Tom told everyone to sit down.	Mondta mindenkinek Tomi, hogy üljön le.
Tom told everyone to sit down.	Mindenkinek mondta Tomi, hogy üljenek le.
Tom told me just the opposite.	Tom ennek pont az ellenkezőjét mondta nekem.
Tom told me that he was sorry.	Tom azt mondta nekem, hogy sajnálja.
Tom treated Mary like a slave.	Tom úgy kezelte Maryt mint egy rabszolgát.
Tom treated Mary like a slave.	Tom úgy bánt Maryvel, mint egy rabszolgával.
Tom tried to catch his breath.	Tomi levegő után kapkodott.
Tom used a credit card to pay.	Tom hitelkártyával fizetett.
Tom used to be scared of dogs.	Még régebben félt Tomi a kutyáktól.
Tom walked along the sidewalk.	Tom a járda mellett sétált.
Tom walked out of the kitchen.	Tom kiment a konyhából.
Tom wants me to work with him.	Tom azt akarja, hogy dolgozzak vele.
Tom wants to go to the movies.	Tom moziba akar menni.
Tom was an exceptional leader.	Tomi kivételes vezető volt.
Tom was killed by a snakebite.	Tom kígyómarásba halt bele.
Tom was killed by a snakebite.	Tom kígyómarástól halt meg.
Tom was looking for something.	Tom keresett valamit.
Tom was one of the lucky ones.	Tom a szerencsések egyike volt.
Tom was one of three children.	Tom a három gyerek egyike volt.
Tom was only slightly injured.	Tom csak könnyebben sérült meg.
Tom was secretly very excited.	Tom titokban nagyon izgatott volt.
Tom was secretly very excited.	Tomi belülről nagyon izgult.
Tom was sitting in the corner.	Tom a sarokban ült.
Tom was terribly disappointed.	Tom szörnyen csalódott volt.
Tom was thirteen when he died.	Tamás tizenhárom éves volt, amikor meghalt.
Tom was very quiet about this.	Tom nem szólt ehhez semmit.
Tom wasn't angry with anybody.	Tom nem haragudott senkire.
Tom wasn't wearing a seatbelt.	Tom nem viselte a biztonsági övet.
Tom went to community college.	Tomi koleszos lett.
Tom went to community college.	Kollégista lett Tom.
Tom will always be remembered.	Tomra mindig emlékezni fognak.
Tom will be cremated tomorrow.	Tomot holnap elhamvasztják.
Tom will definitely be missed.	Tom kétségtelenül hiányozni fog.
Tom will definitely be missed.	Tom határozottan hiányozni fog.
Tom will never listen to Mary.	Tom soha nem fog Maryre hallgatni.
Tom will pick Mary up at 2:30.	Tom 2:30-kor fogja felvenni Maryt.
Tom won't be happy about that.	Tomi nem fog ennek örülni.
Tom won't come. He's too busy.	Tom nem fog jönni. Túl sok dolga van.
Tom works for a small company.	Tom kis cégnél dolgozik.
Tom would help us if he could.	Tom segítene nekünk, ha tudna.
Tom would like to talk to you.	Tom szeretne beszélni veled.
Tom would've loved this movie.	Tomnak tetszett volna ez a film.
Tom wouldn't let me help Mary.	Tamás nem engedte, hogy segítsek Máriának.
Tom writes with his left hand.	Tomi balkezes.
Tom's bicycle has been stolen.	Ellopták Tomi bringáját.
Tom's condition isn't serious.	Tom állapota nem súlyos.
Tom's family isn't very large.	Tom családja nem túl nagy.
Tom's fears were well founded.	Tom félelmei teljesen megalapozottak voltak.
Tom's mother is such a gossip.	Tom anyja egy pletykafészek.
Tom's mother told him a story.	Tom édesanyja elmesélt neki egy történetet.
Tom's past caught up with him.	Tomit utolérte a múltja.
Tom's son was very rude to me.	Tamás fia nagyon faragatlan volt velem.
Tom, shut up and listen to me.	Tomi, légy csöndben és hallgass engem.
Tom, your food's getting cold.	Tamás, kihűl az ételed!
Tomorrow I'll buy what I need.	Holnap megveszem majd, amire szükségem van.
Translate the underlined part.	Fordítsd le az aláhúzott részt.
Translate the underlined part.	Fordítsa le az aláhúzott részt.
Translate the underlined part.	Fordítsátok le az aláhúzott részt.
Translate the underlined part.	Fordítsák le az aláhúzott részt.
Two students are absent today.	Ma két hallgató hiányzik.
Two vanilla ice creams please.	Két vaníliafagylaltot kérek.
Use only in case of emergency.	Csak vészhelyzet esetén használja!
Was Tom here when we got here?	Itt volt Tom, amikor ideértünk?
Was the victim male or female?	Férfi vagy nő volt az áldozat?
Watermelons are in season now.	Most van görögdinnye-szezon.
We are going to the mountains.	A hegyekbe megyünk.
We both have the same problem.	Mindkettőnknek ugyanaz a problémánk.
We both have the same problem.	Mindkettőnknek ugyanaz a problémája.
We bought the car for $12,000.	Az autót tizenkétezer dollárért vettük.
We don't need people like you.	Nincs szükségünk az olyanokra, mint te.
We don't trust the government.	Nem bízunk a kormányban.
We don't want people like you.	Nem kellenek nekünk olyan emberek, mint maga.
We had dinner at a restaurant.	Egy étteremben ebédeltünk.
We have to do this on our own.	Ezt magunktól kell megcsinálnunk.
We have yet to know the truth.	Meg kell még tudnunk az igazságot.
We haven't discussed that yet.	Még nem beszéltük meg.
We helped Tom weed the garden.	Segítettünk Tominak gazolni a kertben.
We lived in a great big house.	Egy nagyon nagy házban éltünk.
We made fun of him about this.	Kigúnyoltuk őt emiatt.
We prepared snacks beforehand.	Készítettünk ki előre egy kis harapnivalót.
We sat on a bench in the park.	A parkban ültünk egy padon.
We should've done that sooner.	Hamarabb kellett volna ezt tennünk.
We were children at that time.	Akkoriban gyerekek voltunk.
We're getting what we deserve.	Azt kapjuk, amit érdemlünk.
We're getting what we deserve.	Annyit érdemlünk, amennyit letettünk az asztalra.
We're not going to let Tom go.	Nem fogjuk hagyni, hogy elmenjen Tomi.
We're not leaving without Tom.	Tom nélkül nem indulunk el.
We're nowhere near the border.	A közelében sem vagyunk a határnak.
We're on top of the situation.	A helyzet magaslatán állunk.
We're trying to close the box.	Próbáljuk bezárni a dobozt.
We've already seen this movie.	Mi láttuk már ezt a filmet.
What am I getting myself into?	Mibe keverem én bele magam?
What are we eating for dinner?	Mit eszünk vacsorára?
What are you still doing here?	Mit csinálsz te még itt?
What are your long term plans?	Mik a hosszú távú terveid?
What can I do to convince you?	Mit tehetek azért, hogy meggyőzzelek?
What changes should we expect?	Milyen változásokat remélhetünk?
What changes should we expect?	Milyen változásokra számíthatunk?
What did Tom put into the bag?	Mit tett Tomi a táskába?
What did you do with my purse?	Mit csináltál a retikülömmel?
What do you grow on your farm?	Mit termelsz a farmon?
What do you grow on your farm?	Mit termelsz a földeden?
What do you know about pandas?	Mit tudsz a pandákról?
What do you want to say to me?	Mit akarsz mondani nekem?
What is the name of that bird?	Mi a neve ennek a madárnak?
What is the price of this cap?	Mi az ára ennek a sapkának?
What is the secret of success?	Mi a siker titka?
What is the title of the book?	Mi a címe a könyvnek?
What kind of car do you drive?	Milyen autód van?
What kind of gift do you want?	Milyen ajándékot akarsz?
What kind of question is that?	Ez meg milyen kérdés?
What shirt size should I have?	Melyik pólóméret lenne nekem jó?
What should I do if Tom comes?	Mit tegyek, ha jön Tom?
What sort of danger are we in?	Milyen veszélyben vagyunk?
What time are you coming back?	Mikor jössz vissza?
What time did you go to sleep?	Mikor feküdtél le?
What time do you go to school?	Hány órakor mész iskolába?
What time will the game start?	Mikor kezdődik a játszma?
What time will the game start?	Mikor kezdődik a játék?
What time will you be leaving?	Mikor fogsz elmenni?
What wine goes well with Brie?	Milyen bor illene a brie sajthoz?
What you did to Tom was cruel.	Kegyetlen dolgot tettél Tomival.
What's the name of this fruit?	Mi a neve ennek a gyümölcsnek?
What's the name of this river?	Mi a neve ennek a folyónak?
What's the square root of 100?	Mennyi 100 négyzetgyöke?
What's the time in Boston now?	Hány óra van most Bostonban?
What's the title of that book?	Mi a címe annak a könyvnek?
What's the title of the movie?	Mi a film címe?
What's this got to do with me?	Mi köze ennek hozzám?
What's your home phone number?	Mi az otthoni telefonszámod?
What's your impression of Tom?	Mi a benyomásod Tomiról?
What's your impression of Tom?	Milyen benyomást szereztél Tomiról?
When are you coming back home?	Mikor jöttök megint haza?
When did you arrive in Boston?	Mikor érkeztetek meg Bostonba?
When does your vacation start?	Mikor kezdődik a nyaralásod?
Where are you going on Monday?	Hova mész hétfőn?
Where can we cross this river?	Át tudunk itt kelni a folyón?
Where did you find my glasses?	Hol találtad meg a szemüvegemet?
Where did you find this knife?	Hol találtad ezt a kést?
Where did you put my umbrella?	Hová tetted az esernyőmet?
Where have you been this week?	Hol voltál a héten?
Where is the Japanese Embassy?	Hol van a Japán Követség?
Where should I put my baggage?	Hová tegyem a csomagomat?
Where should we meet tomorrow?	Hol találkozzunk holnap?
Where's the noise coming from?	Honnan jön ez a zörej?
Where's the rest of our class?	Hol vannak a többiek az osztályunkból?
Which is better, this or that?	Melyik a jobb? Ez vagy az?
Which of them is your brother?	Melyikük a testvéred?
Who is your favorite composer?	Ki a kedvenc zeneszerződ?
Why aren't you coming with us?	Miért nem jössz velünk?
Why aren't you coming with us?	Miért nem jön velünk?
Why aren't you coming with us?	Miért nem jöttök velünk?
Why aren't you coming with us?	Miért nem jönnek velünk?
Why aren't you coming with us?	Hogyhogy nem jössz velünk?
Why did you come home so late?	Miért jöttél haza ilyen későn?
Why didn't you dance with him?	Miért nem táncoltál vele?
Why didn't you dance with him?	Miért nem táncolt vele?
Why do people kill themselves?	Miért ölik meg magukat az emberek?
Why do people kill themselves?	Miért lesznek az emberek öngyilkosok?
Why do you like coffee strong?	Miért szeretik az erős kávét?
Why do you like coffee strong?	Miért szeretitek az erős kávét?
Why do you like coffee strong?	Miért szereti az erős kávét?
Why do you like coffee strong?	Miért szereted az erős kávét?
Why do you look so distraught?	Miért látszol ilyen zavartnak?
Why do you look so distraught?	Miért nézel ki ilyen zaklatottnak?
Why do you look so distraught?	Miért vagy zaklatott?
Why do you need so many shoes?	Miért kell neked ilyen sok cipő?
Why does your brother hate me?	Miért utál engem a bátyád?
Why don't you answer your dad?	Miért nem válaszolsz apádnak?
Why don't you tell us a story?	Mondj el nekünk egy történetet.
Why is Tom acting so childish?	Miért viselkedik most Tomi olyan gyerekesen?
Why should I be afraid of you?	Miért félnék tőled?
Why would Tom want to help me?	Miért akarna Tom segíteni nekem?
Why wouldn't I tell the truth?	Miért ne mondanám el az igazat?
Will you go on foot or by bus?	Gyalog mész, vagy autóbusszal?
Will you go on foot or by bus?	Gyalog mentek, vagy busszal?
Will you go on foot or by bus?	Gyalog megy, vagy busszal?
Will you go on foot or by bus?	Gyalog mennek, vagy busszal?
Will you have a drink with me?	Iszol velem egyet?
Will you let me try once more?	Megengedi, hogy még egyszer megpróbáljam?
Will you let me try once more?	Megengeded, hogy még egyszer megpróbáljam?
Will you let me try once more?	Engedje meg, hogy mégegyszer megpróbáljam.
Will you please let me go now?	Elengedne most engem?
Will you please let me go now?	Elengednél most engem?
Will you please let me go now?	Megengedné, hogy most elmenjek?
Will you please let me go now?	Megengednéd, hogy most elmenjek?
Wine is made from grape juice.	Szőlő levéből készül a bor.
Wine is made from grape juice.	A bor mustból készül.
Women like men with mustaches.	A nők szeretik a bajuszos férfiakat.
Won't you go shopping with me?	Nem jönne velem bevásárolni?
Won't you go shopping with me?	Nem jönnél velem bevásárolni?
Would you please take me home?	Hazavinnél, kérlek?
Would you put out the candles?	Eloltanád a gyertyákat?
You agree with Tom, don't you?	Ugye egyetértesz Tommal?
You are free to use this room.	Nyugodtan használhatod a szobáját.
You are nothing but a student.	Csak egy tanuló vagy.
You can borrow my car anytime.	Bármikor kölcsönkérheted az autómat.
You can do it at your leisure.	Szabadidődben megcsinálhatod.
You cannot smoke in this room.	Ebben a helyiségben tilos a dohányzás.
You didn't say the magic word.	Nem mondtad a varázsszót.
You didn't tell me Tom smoked.	Nem mondtad, hogy dohányzik Tom.
You don't get enough exercise.	Nem mozogsz eleget.
You don't get enough exercise.	Nem dolgoztatod meg a tested eléggé.
You don't get enough exercise.	Nem gyakoroltál eleget.
You don't have to reply today.	Nem kell ma válaszolnod.
You guys can do it if you try.	Srácok, meg tudjátok csinálni, ha akarjátok.
You had a week to finish this.	Egy heted volt arra, hogy ezt elintézd.
You have my permission to try.	Engedélyezem, hogy megpróbáld.
You have to follow your heart.	Követned kell a szívedet.
You have to try to stay awake.	Ébren kell maradnod!
You know Tom really likes you.	Tudod, Tom igazán szeret téged.
You know something, don't you?	Ugye tudsz valamit?
You made a big mistake, buddy.	Nagy hibát követtél el, pajtás.
You met my sister, didn't you?	Találkoztál a húgommal, igaz?
You need to save the princess.	Meg kell mentened a hercegnőt.
You never tell me you love me.	Te sohasem mondod nekem, hogy szeretsz engem.
You play the piano, don't you?	Te zongorázol, ugye?
You probably just have a cold.	Valószínűleg csak náthás vagy.
You probably think I'm stupid.	Valószínűleg azt hiszed, hogy ostoba vagyok.
You should be more reasonable.	Gondolkozzál már, mit hogyan csinálsz!
You should go to the hospital.	Kórházba kellene menned.
You should have worked harder.	Keményebben kellett volna dolgoznod.
You should stay at home today.	Ma otthon kellene maradnod.
You should stay at home today.	Ma otthon kellene maradnia.
You shouldn't have been there.	Nem lett volna szabad ott lenned.
You shouldn't have to do that.	Nem kellene ezt csinálnod.
You take too much for granted.	Nagyon biztos vagy a dolgodban.
You think I'm weak, don't you?	Úgy véled, hogy gyenge vagyok, igaz?
You will soon be able to swim.	Hamarosan képes leszel úszni.
You won't finish this project.	Ezt a projektet nem fogod befejezni.
You're just a little homesick.	Csak egy kis honvágyad van.
You're kidding me, aren't you?	Viccelsz velem, igaz?
You're never too old to learn.	Sohasem vagy túl öreg tanulni!
You're the best singer I know.	Te vagy a legjobb énekes, akit csak ismerek.
You're the only friend I have.	Te vagy az egyetlen barátom.
You're the woman of my dreams.	Te vagy álmaim asszonya.
You've been really good to me.	Igazán jó vagy hozzám.
Your behavior was inexcusable.	A viselkedésed megbocsáthatatlan volt.
Your family's waiting for you.	A családod vár rád.
Your handwriting is illegible.	A kézírásod olvashatatlan.
Your ignorance is astonishing.	A tudatlanságod elképesztő.
Your information is incorrect.	Az információd helytelen.
Your information was accurate.	Az információd pontos volt.
Your new dress is very pretty.	Nagyon csinos az új ruhád.
"Do you like to travel?" "Yes."	"Szeretsz utazni?" "Igen."
"What time is it?" "It's 3:20."	"Mennyi az idő?" "Három óra húsz perc."
"What time is it?" "It's 3:20."	"Hány óra van?" "Három óra húsz perc."
A background check is required.	Háttérellenőrzés szükséges.
A car is faster than a bicycle.	Egy autó gyorsabb egy kerékpárnál.
A fish leaped out of the water.	Egy hal kiugrott a vízből.
A molecule is made up of atoms.	A molekula atomokból áll.
About 300 people were arrested.	Nagyjából 300 embert tartóztattak le.
All I want to do is go fishing.	Csak horgászni akarok menni.
All their efforts were in vain.	Minden erőfeszítésük hiábavaló volt.
Another bottle of wine, please.	Még egy üveg bort, legyen szíves!
Anybody can solve that problem.	Bárki meg tudja oldani azt a problémát.
Apparently, Tom is still alive.	Úgy tűnik, még életben van Tom.
Are airplane tickets expensive?	Sokba kerülnek a repülőjegyek?
Are you afraid of getting hurt?	Attól félsz, hogy megsérülsz?
Are you and Tom still together?	Te és Tom még együtt vagytok?
Are you doing anything special?	Csinálsz valami különlegeset?
Are you going to do that again?	Újra meg fogod azt tenni?
Are you going to school by bus?	Busszal mész az iskolába?
Are you listening to me at all?	Figyelsz te rám egyáltalán?
Are you saying that I'm a liar?	Azt mondod, hogy hazug vagyok?
Are you the one who wrote this?	Ezt te írtad?
Are you trying to pick a fight?	Kötekszel?
As far as I know, he is honest.	Amennyire én ismerem, becsületes ember.
As for me, I have no objection.	Részemről nincs kifogás.
As for me, I have no objection.	Ha engem kérdezel, nincs semmi kifogásom.
As for me, I have no objection.	Nincs ellenvetésem, ha tőlem függ.
Be careful. It might be a trap.	Légy óvatos! Ez csapda lehet.
Boxing isn't like other sports.	Az ökölvívás nem olyan, mint a többi sport.
Breakfast is at half past nine.	A reggeli fél tízkor van.
Bring me today's paper, please.	Hozz egy mai újságot, légy szíves.
Bring the kids home for dinner.	Vacsorára hozd haza a kölyköket!
Business is so slow these days.	Manapság annyira pang az üzlet.
Buy cheap and waste your money.	Ha olcsón vásárolsz, a pénzedet pocsékolod.
Buy cheap and waste your money.	Az olcsó a drága.
Can I have a few minutes alone?	Pár percre magamra hagynátok?
Can I have the key now, please?	Kérem, megkaphatom most a kulcsot?
Can I invite some friends over?	Áthívhatom néhány haveromat?
Can I see your license, please?	Kérem, láthatnám a jogosítványát?
Can I talk to you for a second?	Beszélhetünk egy percet?
Can I tell you a little secret?	Elmondhatok neked egy apró titkot?
Can people change their habits?	Képesek az emberek arra, hogy változtassanak a szokásaikon?
Can you buy one for me as well?	Nekem is tudsz venni egyet?
Can you tell me about yourself?	Tudna nekem valamit mondani magáról.
Come here before seven o'clock.	Gyere ide hét óra előtt!
Come inside. It's cold outside.	Gyere be! Kint hideg van.
